Sample in Buffer,Sample in Window,TRIGGER,design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_3[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_4[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3_prev[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_2[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_1[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_2_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_2_muxed[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
427,427,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
428,428,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
429,429,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
430,430,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
431,431,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
432,432,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
433,433,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
434,434,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
435,435,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
436,436,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
437,437,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
438,438,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
439,439,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
440,440,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
441,441,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
442,442,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
443,443,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
444,444,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
445,445,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
446,446,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
447,447,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
448,448,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
449,449,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
450,450,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
451,451,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
452,452,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
453,453,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
454,454,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
455,455,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
456,456,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
457,457,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
458,458,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
459,459,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
460,460,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
461,461,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
462,462,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
463,463,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
464,464,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
465,465,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
466,466,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
467,467,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
468,468,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
469,469,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
470,470,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
471,471,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
472,472,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
473,473,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
474,474,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
475,475,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
476,476,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
477,477,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
478,478,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
479,479,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
480,480,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
481,481,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
482,482,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
483,483,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
484,484,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
485,485,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
486,486,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
487,487,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
488,488,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
489,489,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
490,490,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
491,491,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
492,492,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
493,493,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
494,494,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
495,495,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
496,496,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
497,497,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
498,498,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
499,499,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
500,500,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
501,501,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
502,502,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
503,503,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
504,504,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
505,505,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
506,506,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
507,507,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
508,508,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
509,509,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
510,510,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
511,511,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
512,512,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
513,513,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
514,514,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
515,515,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
516,516,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
517,517,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
518,518,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
519,519,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
520,520,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
521,521,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
522,522,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
523,523,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
524,524,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
525,525,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
526,526,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
527,527,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
528,528,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
529,529,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
530,530,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
531,531,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
532,532,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
533,533,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
534,534,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
535,535,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
536,536,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
537,537,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
538,538,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
539,539,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
540,540,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
541,541,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
542,542,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
543,543,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
544,544,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
545,545,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
546,546,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
547,547,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
548,548,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
549,549,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
550,550,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
551,551,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
552,552,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
553,553,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
554,554,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
555,555,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
556,556,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
557,557,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
558,558,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
559,559,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
560,560,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
561,561,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
562,562,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
563,563,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
564,564,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
565,565,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
566,566,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
567,567,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
568,568,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
569,569,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
570,570,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
571,571,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
572,572,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
573,573,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
574,574,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
575,575,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
576,576,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
577,577,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
578,578,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
579,579,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
580,580,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
581,581,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
582,582,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
583,583,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
584,584,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
585,585,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
586,586,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
587,587,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
588,588,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
589,589,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
590,590,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
591,591,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
592,592,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
593,593,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
594,594,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
595,595,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
596,596,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
597,597,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
598,598,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
599,599,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
600,600,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
601,601,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
602,602,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
603,603,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
604,604,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
605,605,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
606,606,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
607,607,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
608,608,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
609,609,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
610,610,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
611,611,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
612,612,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
613,613,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
614,614,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
615,615,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
616,616,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
617,617,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
618,618,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
619,619,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
620,620,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
621,621,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
622,622,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
